,Countries,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,Afghanistan,no data,4.764250702,7.479401453,8.847823234,10.1315606,11.38699982,4.796746452,4.047370777,4.123996033,3.637246362,3.702463346,3.373760337,3.337243307,3.135159844,2.821017933,2.569163406,no data
2,Albania,17.70844773,24.15325573,32.03634912,39.29557518,41.10718997,41.91283198,46.98000787,47.63299868,46.93994894,47.04211949,44.53994301,43.17974317,40.76613925,36.65512896,37.2821396,41.26192085,38.48934577
3,Algeria,13.19490144,13.09336893,13.67035535,13.01664759,16.3535653,15.35128536,13.76451019,13.33729367,16.28312859,17.93327833,21.26426335,22.40519502,23.91740872,24.32742252,25.1697436,28.60013648,24.93544522
4,Argentina,29.25064754,26.90175581,25.12338285,23.17050011,22.72400762,21.06812085,21.05748784,22.0256252,22.75750038,19.64935687,21.44497264,20.75310012,24.89416856,28.98000316,27.96883664,29.67077864,22.88875675
5,Australia,171.2925034,180.4389355,188.7836041,189.5681382,187.7939908,179.4109687,175.1235186,177.0261752,182.4375561,188.7935362,199.3791053,200.6230304,195.7323258,195.3362735,191.1460209,194.5063261,184.7233262
6,Austria,133.7687691,136.0940228,140.2664995,142.4643563,145.0253624,147.4200785,145.2339449,143.4688694,146.4906014,141.9488327,141.6847218,142.0267444,141.5676987,141.8363002,141.8406942,152.4006342,152.7832285
7,Azerbaijan,14.1987397,14.82723373,16.3025867,18.8496393,22.12976707,20.4143566,19.13782873,21.18114887,28.49804008,34.05622878,46.08859808,43.68974885,34.54494881,33.13160162,34.46107956,40.16882962,33.37301625
8,"Bahamas, The",249.8425443,242.1686301,308.3022671,272.4720203,300.5792576,298.1963783,325.3617557,295.6754945,348.1510956,322.8475262,350.6388183,320.7925432,285.6661952,285.6292809,385.3705551,360.61076,277.1921971
9,Bahrain,56.18562098,62.16705328,72.95521212,78.44125288,88.23210269,86.4889695,83.2184571,82.1880993,84.71112437,77.85260542,89.61274215,no data,85.04335782,89.86726026,92.02467258,107.0263692,103.0011798
10,Bangladesh,24.23407607,25.71466153,26.53559117,28.23092664,30.0400194,34.03243538,35.2771561,35.71053076,34.03751035,35.72738209,36.32359891,37.15370091,39.52696358,39.29560008,38.37858125,38.44018807,38.2671638
11,Barbados,no data,no data,no data,no data,no data,no data,no data,298.7132236,275.9792299,267.345526,309.9058577,296.3085361,333.4130504,239.0299932,178.9985469,185.9386979,168.2562855
12,Belgium,156.8599877,159.0731691,170.0875097,192.0944897,204.388798,190.5256926,200.8197506,205.7002654,205.3171452,207.0145706,208.9606001,229.2353837,216.6675654,210.5974688,211.9132653,220.787464,212.7592576
13,Benin,8.931851003,10.22123034,12.19120992,12.61807705,14.96552085,15.69043424,16.41727925,15.50132108,16.31719787,16.60325738,16.61496101,17.37353415,16.4832295,16.68828568,17.54761111,15.48343169,15.32355654
14,Bhutan,19.73060092,23.2440806,26.29968439,32.2028378,35.04428407,45.82984181,51.68020983,49.97812848,48.51655765,47.7344935,48.69335221,51.02184277,53.679726,59.45310966,66.32138445,70.09460329,73.77073431
15,Botswana,20.41626623,21.24053717,23.85627718,26.12799398,27.99844789,25.7166017,27.50809636,34.15187214,34.62647564,34.22946891,38.8745157,35.68615321,37.13217458,37.74447988,38.59049645,41.92613599,38.00695085
16,Brazil,46.48237525,50.00290523,47.71663622,55.51750384,57.91636401,58.93654588,62.28654171,66.66590512,70.69591807,74.36417537,81.83142294,74.3576026,72.43577878,74.42776003,76.98903971,88.08547307,88.12506265
17,Bulgaria,81.77149488,104.1043242,134.7535276,150.6034818,149.673418,145.0145148,136.0992961,135.0474654,137.8776637,138.2138847,118.2605912,112.917754,107.4019968,106.15774,101.4369905,101.8887807,97.49451884
18,Burkina Faso,13.19521554,14.57862234,12.69923278,14.98166306,15.98089286,15.48002076,15.24881265,16.49313456,20.68174812,23.27708789,24.9110362,25.68046498,27.30588545,26.79578603,28.35583064,29.22869399,30.36247192
19,Burundi,13.13241365,14.66717307,13.94345539,12.80175853,13.87116978,17.29543267,20.6133354,19.3397726,18.26763803,18.47486941,15.83827224,16.5414579,14.7097757,17.21578507,19.71908937,22.60009315,34.19911694
20,Cabo Verde,33.38583723,38.86145799,44.37173837,51.31354114,56.98582258,60.72818007,65.10137936,63.63002567,63.39201802,62.5735509,61.15050528,60.54600156,61.80360975,54.08569935,52.73234788,65.81011599,64.39016632
21,Cambodia,8.862616627,11.91827083,18.01555253,23.24333997,24.27515507,27.18026083,27.98136101,38.08080439,51.28898084,61.19152038,73.05134422,80.57481827,85.61614641,98.64715861,113.4625851,142.0496036,167.3551177
22,Cameroon,8.339188175,8.062567354,8.238810084,9.178174724,9.547380562,10.67575936,12.18799782,12.27726299,12.83028579,13.62030071,14.06168482,14.24654339,13.8541897,14.50692822,13.92653619,no data,no data
23,Canada,149.6813427,154.1560092,161.8340062,167.700075,183.420584,180.1516523,179.3976877,185.1128037,190.6673529,194.2632656,209.4130899,213.8805797,213.702064,216.2333971,219.9421623,244.5125532,230.4898784
24,Central African Republic,6.502999155,6.337000665,6.525427457,6.743536488,6.75374025,8.210695416,8.890883308,10.30423054,12.80154798,12.37310596,11.2936252,11.892561,10.78961277,11.76192706,11.13165968,no data,no data
25,Chad,2.51082822,2.187372834,2.369807701,3.020170914,3.840174624,4.168670389,4.763388023,5.720631845,5.973086046,7.690079703,8.245350376,9.527188713,9.530328973,9.767792285,9.363018298,no data,no data
26,Chile,90.42722665,87.6306801,92.12916991,111.5673165,110.1720377,102.7049669,109.1166817,115.6225026,124.2420011,136.1283193,145.3246834,142.6704155,137.3737387,143.2370842,153.6791096,158.9736653,146.680062
27,China,108.5314699,108.759953,105.7589071,105.8276947,127.7556607,138.4228283,136.6459014,146.6867902,155.1276736,167.5883426,179.9263542,189.591929,191.1656037,188.3498504,189.5312778,200.7658711,193.5898035
28,Colombia,39.64913599,41.74557828,43.44789735,43.59089694,45.21915706,48.87305867,50.29599756,50.65045348,54.60817862,60.50842899,67.97208112,64.12196619,62.29397613,61.97387494,60.64252888,69.90953471,65.05135229
29,Comoros,5.125261937,4.94674535,5.311862572,6.018940862,7.187383385,8.448136308,9.126487823,10.60985337,11.38221472,12.32553946,14.37438451,14.93197812,15.39736805,14.95008215,14.55687527,14.06629828,15.08306007
30,"Congo, Dem. Rep. of the",1.167211313,1.801719386,2.299203368,4.378144759,4.833220022,3.599039126,3.876265202,4.632018282,5.099322592,5.586047327,6.147993615,7.245493413,5.316819391,5.704361366,6.018880846,7.284080687,6.915338381
31,"Congo, Republic of ",2.199517493,1.994224101,2.142803788,3.179372255,4.826075031,5.860383855,7.045971296,7.34194908,8.784736133,11.02502941,15.21514485,19.05544517,16.48921709,13.89381138,13.17115482,no data,no data
32,Costa Rica,45.88103463,48.36589432,55.62717294,60.51797167,54.74409677,50.59203461,54.9634888,54.77526895,58.26158946,61.10755376,62.11927795,65.01420456,65.60000005,66.51639687,62.42618883,67.21982621,63.00652333
33,Croatia,91.71579318,100.9878651,110.6237992,119.8197659,132.2937585,141.8836143,140.5255175,139.9992229,139.5589886,138.6022971,135.7354339,129.6262383,125.8648601,124.0015504,118.8285366,131.6619047,119.3887229
34,Cyprus,249.5196459,252.7821701,267.8664428,291.0019148,306.3104067,314.5101959,325.3874393,328.3550919,342.5137122,353.5131755,348.5056224,330.2490332,306.4701117,284.4725555,268.7630107,274.5743111,255.8284905
35,Czech Republic,60.09831991,64.53618799,69.81064808,76.85747219,80.94600336,83.69759096,86.10689007,89.2516151,91.83718495,90.10641622,85.89687156,87.98890444,88.73563002,91.73949838,86.11070918,89.67343717,85.93556313
36,Cote d-Ivoire,8.904312422,10.33258247,12.29586625,11.86059699,12.44259177,13.14693395,13.48911476,13.31517948,14.07363524,14.58284951,16.62325711,17.71033861,19.53852829,19.3730323,19.59760334,21.07127014,21.75227263
37,Denmark,208.0505277,224.622591,237.9353893,244.6468717,260.6179046,249.9414664,256.6937614,257.6817861,246.8520379,247.5159818,245.3148664,242.7232733,234.4816139,235.1530967,247.3448856,244.5275655,231.6619792
38,Djibouti,14.29874577,14.37757426,16.04963537,17.6118516,21.61106649,24.22776986,22.02595887,20.61202365,22.16404262,22.19667532,21.7028461,19.73992094,21.17275426,21.63322199,22.35146748,20.9080274,18.7098728
39,Dominica,48.58622168,50.41486211,49.12048257,48.95646196,48.91652083,53.10260776,55.61499738,59.1161341,57.62100491,53.67474167,51.30624182,46.94585492,51.00952286,47.17053436,40.40838204,53.24354699,51.77555001
40,Dominican Republic,20.37822538,22.09498279,18.18434028,24.03928662,25.8305146,27.0054444,27.47599784,27.90496003,28.43192157,29.43060301,30.66113344,31.81266797,31.94631525,32.10132407,32.06140556,34.32592563,31.78434551
41,Ecuador,23.01557072,23.22159827,25.25439008,24.92252374,24.32907109,26.64937294,27.10809372,27.0485031,28.29668423,29.44132527,35.68143122,39.49228227,41.51472566,43.06595223,46.43464295,51.47286277,53.56488717
42,Egypt,47.38367167,45.78980853,43.67314836,42.32954346,35.1084631,30.52445388,29.34471054,26.46273918,25.87332105,25.10403996,25.34711283,31.82800488,26.27956193,24.99492754,22.31943053,25.64143903,28.14788051
43,El Salvador,53.31649905,53.43158984,56.6580714,54.09795992,49.09454886,46.96200032,42.37760189,45.29700245,48.38040275,49.95971861,51.20321486,53.56972352,56.62881871,57.79727746,57.71702956,65.43682065,58.87570513
44,Eritrea,26.85442489,26.60079841,20.08917754,24.90309779,18.87652299,15.5077334,12.45009077,12.08257409,15.75158914,12.65350474,no data,no data,no data,no data,no data,no data,no data
45,Estonia,110.5615929,130.5784612,136.6322121,148.2085465,159.7942521,148.5669319,133.4872356,129.3905292,126.9207299,127.9798765,125.3523154,123.125911,117.5960187,114.6865071,115.5703657,122.1085906,113.2564497
46,Ethiopia,18.84924809,20.44352802,18.52339677,17.64985635,no data,no data,no data,no data,no data,no data,no data,no data,18.3385189,20.19690659,21.11835045,21.25379929,19.59369152
47,Finland,133.9383194,139.9787157,144.8068124,156.1279695,165.2153818,167.1733734,168.2259417,171.5400648,176.2266238,182.5173879,189.3961256,179.4752618,186.798114,185.8366672,183.662,191.1537185,183.9972
48,France,149.1882066,153.4572662,157.051603,164.1208504,172.153952,172.4502065,178.6668474,182.9063426,181.3208457,186.9831819,192.5541932,199.3155722,200.9492252,206.627284,213.915496,241.0461432,232.7639722
49,"Gambia, The",5.74681387,7.108884361,7.427841144,8.593173592,9.048434442,9.382823759,10.25152679,9.866167429,9.777416796,8.575090523,no data,no data,5.4431293,6.448327947,7.656809961,7.584932474,8.405745252
50,Georgia,16.97754731,22.69538373,31.45748602,37.32425085,34.68984752,34.48954214,45.93113756,40.98822368,45.10348922,62.0514345,53.92603467,61.49447565,60.70413488,64.66138306,70.38747212,85.10752494,78.93862087
51,Germany,136.2214036,134.6719188,129.5153528,129.7674053,133.9133919,129.3371159,124.3961523,123.8370166,124.535828,118.389953,117.694387,117.4354811,117.8627615,120.2348572,122.0574043,130.1440053,129.021198
52,Ghana,6.665112042,7.734162134,10.46804874,9.213633364,12.95128602,11.76190697,12.02190318,12.57922854,14.48654984,15.58374145,16.99166878,16.59621864,15.19856024,12.83412225,13.09233131,12.18250646,10.25154108
53,Greece,87.13663122,94.13583676,103.041624,114.7277744,118.1522524,129.6184255,133.1295375,135.2174582,133.4031932,132.3596786,129.0640645,127.1149724,120.6339067,119.2032658,110.5386085,125.456371,121.0665646
54,Grenada,57.966498,64.87672874,68.79338036,70.076901,79.37726897,83.97993986,84.87602087,82.80481368,74.25666023,65.20633553,57.32142857,53.72278409,51.06690575,50.64570309,49.54706523,59.32010748,57.61169377
55,Guatemala,29.88732683,32.7913186,35.97087297,35.78507879,35.28422474,34.24225197,35.79861926,37.78335906,37.9061774,39.51580529,42.13048734,42.01243669,41.50878701,41.89616003,40.28991605,41.86836508,41.53415597
56,Guinea,2.886890838,3.764727849,2.799936327,2.766378765,2.627276287,3.926189963,6.795571629,5.619879125,6.694305501,9.131694097,10.77525128,9.564867959,8.809450996,9.252039064,9.866198311,9.697464866,8.924638372
57,Guinea-Bissau,1.224092448,1.911004001,2.963487354,4.859768361,4.112294359,6.057211071,8.16107664,11.72113345,11.4153926,12.90109963,7.33429242,6.577189815,11.2808236,13.38101427,13.80057841,14.7485053,14.7818888
58,Guyana,20.08087625,20.8276691,20.19220491,21.11075326,21.83778404,22.89013668,23.52621421,23.13408711,25.81972902,28.44936916,28.98724439,28.18071503,27.1667541,27.86749881,27.74089078,26.91833638,20.85076844
59,Haiti,8.272906115,7.995419494,7.270853163,8.088128434,7.749323253,7.268342344,8.026720725,10.31472354,10.27611,10.86010049,10.22691753,9.996235587,9.406423457,10.71774888,10.09113722,8.159546999,8.010298922
60,Honduras,37.52969351,43.36302811,50.88104757,49.87298999,48.8383752,46.22787814,46.46276711,50.4610349,53.94634711,54.30144173,53.81001161,56.31073368,56.2641691,60.7553019,61.84719973,67.03554932,64.27330635
61,Hong Kong SAR,173.7876604,176.1266822,187.0144346,191.8901333,194.3226588,224.614205,237.180358,238.1825465,263.7371657,283.4166296,297.1060927,306.1091352,343.2024082,334.9593307,349.2555477,383.6060213,368.1213807
62,Hungary,87.9125523,93.34671777,108.4458147,117.1761704,128.7221225,125.6417512,125.8182859,115.5019663,108.0045736,104.8041795,94.71390373,89.70595265,83.55362612,81.85874146,81.94856956,90.55049155,94.80405514
63,Iceland,318.2599463,421.4252731,551.6765541,614.0845797,675.3354513,506.0510409,453.9212548,382.6854676,330.0822376,325.1668456,281.0488617,249.8771126,199.2670969,189.5553347,180.0072474,223.2169248,203.4360926
64,India,82.01558443,90.70640613,95.50853129,104.8531739,100.2783556,106.5161701,110.8225697,109.592962,100.9320204,103.7838668,98.82557416,88.34883414,90.25569454,82.84975875,90.02423877,96.46645432,85.54682302
65,Indonesia,27.72232951,26.07426111,26.389336,26.95713917,26.78070123,27.66064808,30.69768635,34.95127062,38.72892228,40.33454331,41.85001434,40.68154735,40.36072699,41.37530713,40.78866755,42.67919583,40.33951332
66,Iran,41.96833472,47.24375225,48.57502701,45.43446755,48.45848263,50.63473499,50.44580752,51.1374934,46.03327669,50.10629661,56.68797406,60.52753551,60.84868891,55.98963,52.74487075,52.09486088,48.27119266
67,Iraq,1.230600567,1.652807998,2.030836853,2.256843998,3.579857745,5.290537811,5.233973995,5.913914194,6.351045291,6.760119287,9.228156958,9.620606289,8.597552735,7.61104451,7.629787918,12.88084347,10.08555706
68,Ireland,176.6661186,213.828441,227.1142234,283.0860249,303.1270831,310.0512569,315.0504945,312.9055035,296.1840441,300.1301997,322.8309808,303.0735809,267.9328862,265.0535314,234.6678628,216.0137433,195.3439382
69,Israel,121.3161048,121.5502317,126.4229175,120.4743038,121.8703586,121.3572581,118.6250807,116.2137202,111.9974029,110.0208954,108.8769724,109.846911,109.4551094,109.5078641,108.5190682,112.4426153,115.2057808
70,Italy,99.0835786,105.2532159,112.9639469,116.4749444,124.9935331,125.6213232,124.7200313,126.8822963,124.946954,123.1115795,118.905854,115.0125075,112.257161,110.418479,109.2914357,122.0734357,116.4610363
71,Jamaica,52.19498617,63.55238483,70.93999498,70.0299856,58.28651944,59.75369803,61.94798308,72.84969136,89.14611463,94.44674407,97.37263811,96.50442029,91.8637907,87.04974719,93.67468041,92.05056728,75.46646763
72,Japan,162.5276447,161.1122406,158.7698894,163.8331769,170.330227,162.7758241,163.0531096,161.0579194,159.5637591,157.8205632,153.8839583,155.7372026,156.2530624,159.4916988,164.4406574,184.1151712,187.0928427
73,Jordan,89.50504762,93.02265352,94.27493447,82.83782053,84.05946931,80.76796876,80.37631297,79.10555426,80.07497083,76.79400624,75.83970033,83.22070956,84.53712549,86.64685462,87.63548663,94.2496102,93.82274653
74,Kazakhstan,40.77988718,55.56699635,66.1841237,60.39798077,61.99460691,51.4085225,42.88083905,43.94368979,43.208811,42.97072056,48.80476818,50.91826298,45.83055926,41.19972511,37.92941811,39.97415918,37.36625988
75,Kenya,18.342113,19.61588239,19.83759233,21.77461337,21.54829134,23.53105708,26.60311044,25.79013272,27.78274594,33.78289882,36.02218956,34.7370994,32.39339927,30.64212839,30.17358724,31.37247799,30.15811063
76,"Korea, Republic of",136.8801297,147.8719657,153.9951625,168.343732,173.5142504,168.7073193,172.8181087,175.3377117,176.2227722,179.6266817,180.8675816,181.7158703,181.9067263,187.3623302,196.2425788,212.8031198,219.4857114
77,Kuwait,53.75390647,56.09782088,69.72196677,66.40997052,81.35847492,75.04404521,59.85714212,53.44748449,60.41987638,67.13062976,98.78377619,104.3575072,103.8473283,95.18948795,no data,no data,no data
78,Kyrgyz Republic,7.875606348,10.47709088,6.073687747,13.54153263,12.56521373,12.06338452,11.1205562,13.1203983,15.39837226,19.77915491,22.37740259,20.19410351,21.01272074,23.00257199,24.14121487,27.81456651,25.67253852
79,Lao P.D.R.,6.210071101,5.012619141,5.813092319,8.765772397,15.63181668,19.86313353,no data,no data,no data,no data,no data,no data,43.02800164,41.46415684,41.98505503,43.08997082,44.20728504
